"Title","Developer(s)","Publisher(s)","Release date","Ref."
"Dynasty Warriors 8: Xtreme Legends","Omega Force","Koei Tecmo","December 27, 2018",""
"Dynasty Warriors 9: Empires","Omega Force","Koei Tecmo","December 23, 2021",""
"Dyschronia: Chronos Alternate","MyDearest","Izanagi Games","2022","[428]"
"E School Life","Hooksoft","Entergram","July 30, 2020","[429]"
"EA Sports FC 24","EA Canada","EA Sports","September 29, 2023",""
"EA Sports FC 25","EA Canada","EA Sports","September 27, 2024",""
"Eagle Island","Pixelnicks","Screenwave Media","July 11, 2019","[430]"
"Earth Atlantis","Pixel Perfex","Headup Games","October 5, 2017",""
"Earth Defense Force 2017","Sandlot","D3 Publisher","October 14, 2021",""
"Earth Defense Force 2: Invaders from Planet Space","Sandlot","D3 Publisher","July 15, 2021",""
"Earth Defense Force 4.1: The Shadow of New Despair","Sandlot","D3 Publisher","2022",""
"Earth Defense Force: World Brothers","Yuke's, Sandlot","D3 Publisher","December 24, 2020",""
"Earth Wars","One or Eight","One or Eight","January 25, 2018","[431]"
"Earthfall: Alien Horde","Nimble","Nimble","October 29, 2019",""
"Earthlock","Snowcastle Games","Soedesco","March 8, 2018",""
"Earthlock 2","Snowcastle Games","Snowcastle Games","2022",""
"EarthNight","Cleaversoft","JP: IntraGamesWW: Cleaversoft","December 3, 2019","[432]"
"Eastward","Pixpil","Chucklefish","September 16, 2021",""
"Eat Beat Deadspike-san","Arc System Works","Arc System Works","March 21, 2018","[433]"
"eBaseball Powerful Pro Yakyuu 2020","Konami","Konami","July 9, 2020",""
"eBaseball Powerful Pro Yakyuu 2022","Konami","Konami","April 21, 2022","[434]"
"eBaseball Professional Yakyuu Spirits 2021: Grand Slam","Konami","Konami","July 8, 2021",""
"Edgar: Bokbok in Boulzac","La Poule Noire","La Poule Noire","February 26, 2020","[135][136]"
"Edge of Eternity","Midgar Studio","Dear Villagers","February 23, 2022",""
"Edna & Harvey: Harvey's New Eyes","Daedalic Entertainment","Daedalic Entertainment","August 14, 2019",""
"Edna & Harvey: The Breakout – Anniversary Edition","Daedalic Entertainment","Daedalic Entertainment","June 17, 2020",""
"Egglia Rebirth","Brownies","Brownies","December 16, 2021","[435]"
"Ego Protocol: Remastered","No Gravity Games","No Gravity Games","February 21, 2020","[135][136]"
"Eiyuden Chronicle: Hundred Heroes","Rabbit & Bear Studios","505 Games","2023",""
"Eiyuden Chronicle: Rising","Rabbit & Bear Studios","505 Games","May 10, 2022","[436]"
"Ekstase","Raskal Games","Raskal Games","November 1, 2021","[437]"
"El Hijo: A Wild West Tale","Honig Studios","HandyGames","March 25, 2021",""
"El Shaddai: Ascension of the Metatron","Crim","Crim","TBA",""
"Elden: Path of the Forgotten","Onerat Games","Another Indie Studio","July 9, 2020","[438]"
"The Elder Scrolls: Blades","Bethesda Game Studios","Bethesda Softworks","May 14, 2020",""
"The Elder Scrolls V: Skyrim","Bethesda Game Studios","Bethesda Softworks","November 17, 2017",""
"Eldest Souls","Fallen Flag Studio","United Label","July 29, 2021","[439]"
"Element","Flightless","Flightless","July 27, 2018",""
"Elemental Knights Online R","Winlight","Winlight","September 27, 2018",""
"Elevator...to the Moon! Turbo Champion's Edition","Roccat Games Studio","Arcade Distillery","March 6, 2019","[415][167]"
"Eliza","Zachtronics","Zachtronics","October 10, 2019",""
"Elli","BandanaKid","JP: Flyhigh WorksWW: BandanaKid","January 10, 2019","[440][441]"
"Elliot Quest","Ansimuz Games","PlayEveryWare","October 19, 2017",""
"Ellipsis","Salmi","Silesia Games","August 20, 2020","[442][443]"
"Embers of Mirrim","Creative Bytes","Creative Bytes","December 7, 2017","[444]"
"Embracelet","Machineboy","Machineboy","September 24, 2020","[445]"
"Emio – The Smiling Man: Famicom Detective Club","Nintendo, Mages","Nintendo","August 29, 2024",""
"Empire of Angels IV","Softstar Entertainment","EastAsiaSoft","June 24, 2021",""
"Empire of Sin","Romero Games","JP: SegaWW: Paradox Interactive","December 1, 2020",""
"Enchanted in the Moonlight: Kiryu, Chikage & Yukinojo","Voltage","Voltage","June 13, 2019","[446]"
"Enchanted in the Moonlight: Miyabi, Kyoga & Samon","Voltage","Voltage","June 13, 2019","[446]"
"Enchanting Mahjong Match","D3 Publisher","D3 Publisher","March 14, 2018","[447]"
"The End Is Nigh","Edmund McMillen","Nicalis","December 12, 2017",""
"Ender Lilies: Quietus of the Knights","Adglobe, Live Wire","Binary Haze Interactive","June 21, 2021",""
"Endurance","Ivan Panasenko","Ivan Panasenko","September 17, 2020","[448]"
"Endling: Extinction is Forever","Herobeat Studios","Herobeat Studios","2022","[449]"
"Energy Balance","Sometimes You","Evgeniy Kolpakov","January 16, 2018","[450]"
"Energy Cycle","Sometimes You","Evgeniy Kolpakov","December 25, 2017","[451]"
"Energy Invasion","Sometimes You","Evgeniy Kolpakov","January 10, 2018","[452]"
"Enigmatis 2: The Mists of Ravenwood","Artifex Mundi","Artifex Mundi","May 25, 2018",""
"Enter the Gungeon","Dodge Roll","Devolver Digital","December 14, 2017",""
"Ephemeral: Fantasy on Dark","HuneX","HuneX","January 21, 2021",""
"Epic Astro Story","Kairosoft","Kairosoft","June 27, 2019",""
"Epic Loon","Ukuza","Ukuza","July 13, 2018","[453]"
"Epic Mickey: Rebrushed","Purple Lamp","THQ Nordic","September 24, 2024",""
"Project M - Emio (笑み男)","NintendoBloober TeamPiotr Babieno","Nintendo","2025",""
"Epistory: Typing Chronicles","QubicGames","QubicGames","July 2, 2021",""
"Epitaph","Everook","Everook","January 12, 2021",""
"EQQO","Parallel Studio","Nakana","February 7, 2020","[454][455]"
"Escape 2088","OnSkull Games","OnSkull Development","February 4, 2021",""
"Escape First","OnSkull Games","OnSkull Development","February 20, 2020","[135][136]"
"Escape First 2","OnSkull Games","OnSkull Development","February 11, 2021",""
"Escape from Asura","Mikage","Aksys Games","TBA","[456]"
"Escape from Chernobyl","Atypical Games","Atypical Games","January 23, 2020","[408]"
"Escape from Life Inc","Sometimes You","Sometimes You","March 31, 2021",""
"Escape From Tethys","Sometimes You","Sometimes You","August 12, 2020","[457]"
"Escape from the Universe","Cat-astrophe Games","Cat-astrophe Games","August 16, 2019",""
"Escape Game: Aloha","Silver Star","Silver Star","May 24, 2018",""
"Escape Trick: 35 Fateful Enigmas","Intense","D3 Publisher","February 15, 2018","[458]"
"The Escapists","Mouldy Toof Studios","Team17","September 25, 2018",""
"The Escapists 2","Mouldy Toof Studios","Team17","January 11, 2018",""
"Eschatos","Qute Corporation","Qute Corporation","November 18, 2021",""
"ESP Ra.De. Psi","Cave","M2","December 19, 2019",""
"Espacio Cosmic Light-Seeker","jellyjelly","PLiCy","January 11, 2021",""
"Espgaluda II","Cave","Live Wire","September 9, 2021",""
"eSports Legend","90 Games","Coconut Island Games","April 23, 2020",""
"eSports Life Tycoon","U-Play Online","Raiser Games","October 29, 2020","[459]"
"Estiman","Kool2Play","Arts Alliance","February 7, 2019","[460]"
"Eternal","Dire Wolf Digital","Dire Wolf Digital","October 8, 2019",""
"The Eternal Castle","TFL Studios","TFL Studios","May 15, 2020",""
"Eternal Radiance","Visualnoveler","Visualnoveler","January 13, 2022","[461]"
"Eternum Ex","Flynn's Arcade, Radin Games","JP: EastAsiaSoftWW: Zerouno Games","October 25, 2018",""
"Etherborn","Altered Matter","Altered Matter","July 18, 2019","[390][391][462]"
"Europa","Novadust Entertainment","Future Friends Games","TBA",""
"European Conqueror X","EasyTech","Circle Entertainment","May 7, 2019","[28][30][463]"
"Evan's Remains","Matías Schmied","Whitethorn Digital","June 11, 2020","[464][465]"
"Eve: Burst Error R","C's Ware","Red Flag Ship","October 25, 2018",""
"Eve: Rebirth Terror","El Dia","Red Flag Ship","February 27, 2020",""
"Even the Ocean","Analgesic Productions","Analgesic Productions","August 21, 2020",""
"Event Horizon: Space Defense","Drageus Games","Drageus Games","December 13, 2019","[466]"
"Ever Forward","Pathea Games","Pathea Games","December 7, 2021","[467][468]"
"Everdark Tower","Hit Point","Kemco","August 22, 2019",""
"Everdream Valley","Mooneaters","Untold Tales","June 23, 2023",""
"Evergate","Stone Lantern Games","JP: PhoenixxWW: PQube","August 18, 2020","[469]"
"EverHood","Chris Nordgren, Jordi Roca","Foreign Gnomes, Surefire.Games","March 4, 2021",""
"Everspace","Rockfish Games","Rockfish Games","December 11, 2018",""
"Evertried","Lunic Games","Dangen Entertainment","October 21, 2021",""
"Everybody 1-2-Switch!","Nintendo EPD, NDcube","Nintendo","June 30, 2023",""
"Everybody, Hearts!","Cellnavi","Cellnavi","March 21, 2019",""
"Everyday Today's Menu for the Emiya Family","Aniplex","Aniplex","April 28, 2021","[470]"
"Everything","David OReilly","Double Fine Productions","January 10, 2019",""
"Evil Dead: The Game","Boss Team Games","Saber Interactive","February 2022",""
"Evil Defenders","Crazy Panda","Crazy Panda","May 14, 2019","[28][30]"
"Evoland: Legendary Edition","Shiro Games","Shiro Games","February 7, 2019",""
"Evolutis","Poke Life Studio","PM Studios","TBA","[471]"
"Exception","Traxmaster Software","Traxmaster Software","August 13, 2019",""
"The Executioner","Lesser Evil Games","Ultimate Games","July 31, 2020","[472][473]"
"Exit the Gungeon","Dodge Roll Games","Devolver Digital","March 17, 2020",""
"Exophobia","Zarc Attack","PM Studios","July 23, 2024","[474]"
"Exorder","Fat Dog Games","Fat Dog Games","September 27, 2018","[475]"
"The Experiment: Escape Room","OnSkull Games","OnSkull Development","May 8, 2020",""
"The Explorer of Night","Alexandr Bondarenko","Ternox","November 26, 2020",""
"Extreme Poker","Redinc","Dorasu","August 16, 2018",""
"ExZeus: The Complete Collection","Sickhead Games","Zigguat Interactive","September 30, 2021","[476][477]"
"Fable of Fairy Stones","Kanemura Seikichi","Regista","December 19, 2019",""
"Factotum 90","Dico","Rainy Frog","March 19, 2020",""
"Fading Afternoon","Yeo","Circle Entertainment","June 6, 2024","[478]"
"Fae Farm","Phoenix Labs","Phoenix Labs","September 8, 2023",""
"Fae Tactics","Endlessfluff Games","Humble Bundle","TBA","[479]"
"Faeria","Abrakam Entertainment","Versus Evil","August 13, 2020",""
"Fairune Collection","Flyhigh Works","Flyhigh Works","May 17, 2018","[480]"
"Fairy Fencer F: Advent Dark Force","Compile Heart","Idea Factory","January 17, 2019",""
"Fairy Knights","WID Studio","CFK","April 30, 2020",""
"Fairy Tail","Gust Co. Ltd.","Koei Tecmo","July 30, 2020",""
"Fairy Tale Puzzles: Magic Objects","Adore","Office5656","October 25, 2018",""
"The Falconeer: Warrior Edition","Tomas Sala","Wired Productions","August 5, 2021",""
"The Fall","Over the Moon","Over the Moon","May 10, 2018",""
"The Fall Part 2: Unbound","Over the Moon","Over the Moon","February 13, 2018",""
"Fall Gummies","Prison Games","Prison Games","November 20, 2020",""
"Fall Guys: Ultimate Knockout","Mediatonic","Devolver Digital","June 21, 2022",""
"Fall of Light: Darkest Edition","RuneHeads","Digerati","August 30, 2018","[481]"
"Fallback","Endroad","Microids","2021","[482]"
"Fallen Legion: Revenants","Yummy Yummy Tummy","NIS America","February 16, 2021",""
"Fallen Legion: Rise to Glory","Yummy Yummy Tummy","Nippon Ichi Software","May 29, 2018",""
"Fallout Shelter","Bethesda Game Studios, Behaviour Interactive","Bethesda Softworks","June 10, 2018",""
"Famicom Detective Club: The Missing Heir","Mages","Nintendo EPD","May 14, 2021",""
"Famicom Detective Club: The Girl Who Stands Behind","Mages","Nintendo EPD","May 14, 2021",""
"Family Card Games SP","Arc System Works","Arc System Works","May 10, 2018",""
"Family Feud","Snap Finger Click","Ubisoft","November 12, 2020",""
"Family Mysteries: Poisonous Promises","Artifex Mundi","Artifex Mundi","July 31, 2020","[483][484]"
"Family Tennis SP","Arc System Works","Arc System Works","November 28, 2019","[485]"
"Family Trainer","h.a.n.d.","Bandai Namco Entertainment","December 17, 2020","[486]"
"Family Tree","Infinite State Games","EastAsiaSoft","October 10, 2019",""
"Fantasy Friends","Raiser Games","NA: Merge GamesPAL: Just For Games","November 6, 2020","[487]"
"Fantasy Hero: Unsigned Legacy","Arc System Works","Arc System Works","January 25, 2018","[488]"
"Fantasy Knights","WID Studio","CFK","April 30, 2020","[489]"
"Fantasy Strike","Sirlin Games","Sirlin Games","July 25, 2019",""
"Fantasy Tavern Sextet Vol. 1: New World Days","Qureate","Qureate","November 5, 2020","[490]"
"Fantasy Tavern Sextet Vol. 2: Adventurer's Days","Qureate","Qureate","January 14, 2021","[490]"
"Fantasy Tavern Sextet Vol. 3: Postlude Days","Qureate","Qureate","March 18, 2021","[490]"
"Fantasy Tower Defense","Prison Games","Prison Games","September 4, 2020","[491][492]"
"Far: Changing Tides","Okomotive","JP: H2 InteractiveWW: Mixtvision Games","2022",""
"Far: Lone Sails","Okomotive","JP: H2 InteractiveWW: Mixtvision Games","August 18, 2019",""
"Farabel","Drageus Games","Frogames","December 20, 2019","[493]"
"Farm Builder","562 Interactive","562 Interactive","October 1, 2020","[494]"
"Farm Expert 2018","SimFabric","SimFabric","March 30, 2018","[495]"
"Farm Mystery","Ocean Media","Ocean Media","August 22, 2019",""
"Farming Simulator","Giants Software","Focus Home Interactive","November 7, 2017",""
"Farming Simulator 20","Giants Software","Focus Home Interactive","December 3, 2019",""
"Fast RMX","Shin'en Multimedia","Shin'en Multimedia","March 3, 2017",""
"Fat City","Heavy Iron Studios","Heavy Iron Studios","June 6, 2019",""
"Fatal Fury: First Contact","Code Mystics","SNK","December 23, 2020",""
"Fatal Frame: Maiden of Black Water","Koei Tecmo","Koei Tecmo","October 28, 2021",""
"Fatal Frame: Mask of the Lunar Eclipse","Koei Tecmo, Grasshopper Manufacture","Koei Tecmo","2023",""
"Fatal Twelve","Aiueo Kompany","Prototype","July 21, 2021","[496]"
"Fate/Extella Link","Marvelous","Xseed Games","January 31, 2019",""
"Fate/Extella: The Umbral Star","Marvelous","Xseed Games","July 20, 2017",""
"Fault Milestone One","Alice in Dissonance","Sekai Games","October 3, 2019",""
"Fault Milestone Two Side: Above","Alice in Dissonance","Phoenixx","December 3, 2020",""
"Fe","Zoink","EA Originals","February 16, 2018",""
"Fear Effect Sedna","Sushee","Square Enix","March 6, 2018",""
"Feather","Samurai Punk","Samurai Punk","April 5, 2019",""
"Felix the Reaper","Kong Orange","Daedalic Entertainment","October 17, 2019","[497]"
"Fell Seal: Arbiter’s Mark","6 Eyes Studio","JP: DMM GamesWW: 1C Company","August 14, 2019","[498]"
"Fernz Gate","Exe Create","Kemco","August 23, 2018",""
"Feudal Alloy","Attu Games","Attu Games","January 17, 2019",""
"Fez","Polytron","Polytron","April 14, 2021",""
"FIA European Truck Racing Championship","N-Racing","Bigben Interactive","August 5, 2019",""
"FIFA 18","EA Canada","EA Sports","September 29, 2017",""
"FIFA 19","EA Canada","EA Sports","September 28, 2018",""
"FIFA 20","EA Canada","EA Sports","September 27, 2019",""
"FIFA 21","EA Canada","EA Sports","October 9, 2020",""
"FIFA 22","EA Canada","EA Sports","October 1, 2021",""
"FIFA 23","EA Canada","EA Sports","September 30, 2022",""
"Fight'N Rage","Sebagamesdev","BlitWorks","September 26, 2019","[499][500]"
"Fight Crab","Calappa Games","Mastiff","August 20, 2020","[501]"
"Fight of Animals","Digital Crafter Interactive Media","Digital Crafter","April 9, 2020",""
"Fight of Animals: Arena","Digital Crafter Interactive Media","Justdan","October 14, 2021",""
"Fight of Gods","Digital Crafter","Digital Crafter","January 18, 2019",""
"Fighting EX Layer: Another Dash","Arika","Arika","April 1, 2021",""
"Figment","Bedtime Digital Games","Bedtime Digital Games","June 28, 2018","[502][503]"
"Filament","Beard Envy","Kasedo Games","October 1, 2020","[504]"
"Fill-a-Pix: Phil's Epic Adventure","Lightwood Games","Lightwood Games","July 12, 2018",""
"Final Fantasy I-VI Collection","Square Enix","Square Enix","April 19, 2023",""
"Final Fantasy VII","Square Enix","Square Enix","March 26, 2019",""
"Final Fantasy VIII","Square Enix","Square Enix","September 3, 2019",""
"Final Fantasy IX","Square Enix","Square Enix","February 13, 2019",""
"Final Fantasy X/X-2 HD Remaster","Square Enix, Virtuos","Square Enix","April 11, 2019",""
"Final Fantasy XII: The Zodiac Age","Square Enix, Virtuos","Square Enix","April 25, 2019",""
"Final Fantasy XV: Pocket Edition","Square Enix","Square Enix","September 13, 2018",""
"Final Fantasy: Crystal Chronicles Remastered Edition","Square Enix","Square Enix","August 27, 2020",""
"Final Light: The Prison","EnjoyUp Games","EnjoyUp Games","July 27, 2018",""
"The Final Station","Do My Best Games","TinyBuild","February 23, 2018",""
"Final Sword","Hup Games","Hup Games","July 2, 2020",""
"Final Vendetta","Bitmap Bureau","Numskull Games","June 17, 2022","[505]"
"Find The Balance","Wastelands Interactive","Wastelands","September 20, 2018",""
"Fire Emblem Engage","Intelligent Systems, Koei Tecmo","Nintendo","January 20, 2023",""
"Fire Emblem: Three Houses","Intelligent Systems, Koei Tecmo","Nintendo","July 26, 2019",""
"Fire Emblem Warriors","Omega Force, Team Ninja","Nintendo","September 28, 2017",""
"Fire Emblem Warriors: Three Hopes","Omega Force, Team Ninja","Nintendo","June 24, 2022",""
"Fire Tonight","Reptoid Games","Way Down Deep","August 12, 2021","[506]"
"Firewatch","Campo Santo","Panic, Campo Santo","December 17, 2018",""
"Firework","Fantastico Studio","Fantastico Studio","September 11, 2020","[507][508]"
"The First Tree","David Wehle","Studio DO Games","November 29, 2018","[509]"
"Fishing Adventure","Ultimate Games","Ultimate Games","February 21, 2020","[135][136]"
"Fishing Star World Tour","WFS","WFS","January 31, 2019","[510]"
"Fishing Universe Simulator","Ultimate Games","Forever Entertainment","January 24, 2019","[511]"
"Fishing: Barents Sea Complete Edition","Misc Games","Astragon Entertainment","December 10, 2019","[512][513]"
"Fishing Universe Simulator","Ultimate Games","Forever Entertainment","January 24, 2019"
"F.I.S.T.: Forged In Shadow Torch","TiGames","Bilibili","July 12, 2022",""
"Fitness Boxing 2: Rhythm & Exercise","Imagineer","Nintendo","December 3, 2020","[514]"
"Fitness Boxing feat. Hatsune Miku: Isshoni Exercise","Imagineer","Imagineer","March 7, 2024","[515]"
"Fitness Boxing Fist of the North Star","Imagineer","Imagineer","December 22, 2022","[516]"
"Five Dates","Good Gate Media","Wales Interactive","November 17, 2020",""
"Five Nights at Freddy's","Clickteam","Clickteam","November 29, 2019",""
"Five Nights at Freddy's 2","Clickteam","Clickteam","November 29, 2019",""
"Five Nights at Freddy's 3","Clickteam","Clickteam","November 29, 2019",""
"Five Nights at Freddy's 4","Clickteam","Clickteam","November 29, 2019",""
"Five Nights at Freddy's: Help Wanted","Steel Wool Games","Steel Wool Games","May 21, 2020",""
"Five Nights at Freddy's: Security Breach","Steel Wool Studios","ScottGames","April 19, 2023",""
"Five Nights at Freddy's: Sister Location","Clickteam","Clickteam","June 18, 2020",""
"The Flame in the Flood","The Molasses Flood","JP: TeyonWW: Curve Digital","October 12, 2017",""
"Flan","Aecrnia","Anela Games Studio","October 31, 2019",""
"Flashback","Paul Cuisset","Microids","June 7, 2018",""
"Flat Heroes","Parallel Circles","Deck13","August 2, 2018","[517]"
"Fledgling Heroes","Subtle Boom","Subtle Boom","May 7, 2020",""
"Flinthook","Tribute Games","Tribute Games","March 8, 2018",""
"Flip Over Frog","Mutan","Mutan","August 9, 2018",""
"Flip Wars","Over Fence","Nintendo","May 18, 2017",""
"Flipper Mechanic","SimFabric","SimFabric","TBA","[518]"
"Flipping Death","Zoink","Zoink","August 7, 2018","[519]"
"Flipon","Pixelnest Studio","Plug In Digital","October 8, 2020","[520]"
"Flood of Light","indienova","indienova","August 23, 2018",""
"Floor Kids","Hololabs","Merj Media","December 7, 2017","[521]"
"Florence","Mountains","Annapurna Interactive","February 13, 2020",""
"Flowers: Les Quatre Saisons","Prototype","Prototype","November 28, 2019",""
"Fly O'Clock","Digital Melody","Forever Entertainment","October 25, 2018","[522]"
"Fly Punch Boom!","Jollypunch Games","Jollypunch Games","May 28, 2020",""
"Fly The Bird","Benoit Varasse","Pix Arts","April 3, 2021",""
"Flying Girl Striker","Mediascape","Mediascape","September 25, 2019",""
"Flying Soldiers","Wild Sphere","Wild Sphere","September 17, 2020",""
"Fobia","Tapteek","Eugene Lazebny","July 25, 2019","[523][524]"
"A Fold Apart","Lightning Rod Games","Lightning Rod Games","April 17, 2020","[525][526]"
"Food Girls","Simon Creative, Storia","Justdan International","November 26, 2020","[527]"
"Food Truck Tycoon","Baltoro Games","Baltoro Games","February 8, 2019","[460][528][529]"
"Football Manager Touch 2018","Sports Interactive","Sega","April 13, 2018",""
"Football Manager Touch 2019","Sports Interactive","Sega","November 27, 2018",""
"Football Manager Touch 2020","Sports Interactive","Sega","December 10, 2019",""
"Football Manager Touch 2021","Sports Interactive","Sega","December 14, 2020",""
"FootGoal! Tiki Taka","Jorge Biedma Azuar","Jorge Biedma Azuar","July 31, 2020","[530][531]"
"For the King","IronOak Games","JP: TeyonWW: Curve Digital","May 9, 2019","[28][30][532]"
"Forager","HopFrog","Humble Bundle","July 30, 2019",""
"The Forbidden Arts","Stingbot Games","Stingbot Games","August 7, 2019","[533]"
"Foreclosed","Antab","Merge Games","August 12, 2021",""
"Foregone","Big Blue Bubble","Big Blue Bubble","October 5, 2020","[534]"
"Forest Home","The Binary Mill","The Binary Mill","June 20, 2019","[535]"
"Forgotten Hill Disillusion","FM Studio","Ratalaika Games","December 17, 2021","[536]"
"The Forgotten Land","Rokaplay","Rokaplay","June 25, 2020","[537][538][539]"
"Forgotton Anne","ThroughLine Games","Square Enix","November 9, 2018",""
"Forma.8","MixedBag","MixedBag","August 24, 2017","[540]"
"Fortnite Battle Royale","Epic Games","Epic Games","June 11, 2018",""
"Forward to the Sky","Animu Game","Cosen","February 25, 2021","[541]"
"Fossil Hunters","Reptoid Games","Reptoid Games","June 28, 2018","[542]"
"The Four Kings Casino and Slots","Digital Leisure","Digital Leisure","April 30, 2020",""
"The Fox Awaits Me","Cosen","Cosen","April 16, 2020","[543][544][545]"
"The Fox Awaits Me HANA","TALESshop","Cosen","November 2, 2023","[546]"
"Fox N Forests","Bonus Level Entertainment","EuroVideo","May 17, 2018",""
"FoxyLand","Bug Studio","Ratalaika Games","November 28, 2019","[547][548]"
"FoxyLand 2","Bug Studio","Ratalaika Games","January 23, 2020","[408][549][550]"
"Fracter","4L Games","The Quantum Astrophysicists Guild","October 22, 2020",""
"Fractured Minds","Emily M Games","Wired Productions","November 14, 2019",""
"Fragment of Marine","Shiosai Sirens","Mediascape","January 11, 2019",""
"Framed Collection","Loveshack Entertainment","Loveshack Entertainment","May 17, 2018","[551]"
"Frane: Dragons' Odyssey","Exe Create","Kemco","May 9, 2019",""
"Fraymakers","McLeodGaming","McLeodGaming","2022",""
"Freakout: Calamity TV Show","JanduSoft","JanduSoft","April 17, 2020",""
"Fred3ric","Forever Entertainment","Forever Entertainment","February 21, 2020","[135][136]"
"Freddy Fazbear's Pizzeria Simulator","Clickteam","Clickteam","October 31, 2020",""
"Freddy Spaghetti","Playful Pasta","Ratalaika Games","December 18, 2020",""
"Frederic: Resurrection of Music","Forever Entertainment","Forever Entertainment","December 21, 2017","[552]"
"Frederic 2: Evil Strikes Back","Forever Entertainment","Forever Entertainment","February 1, 2018","[553]"
"Free Throw Basketball","Benoit Varasse","Pix Arts","February 10, 2021",""
"Freecell Battle King","Making","Making","January 24, 2019","[460]"
"Freedom Finger","Wide Right Interactive","JP: EastAsiaSoftWW: Wide Right Interactive","September 27, 2019","[554][555]"
"Freedom Planet","GalaxyTrail","GalaxyTrail","August 30, 2018",""
"Freedom Planet 2","GalaxyTrail","GalaxyTrail","April 4, 2024",""
"Friday the 13th: The Game","Black Tower Studios","Gun Media","August 13, 2019",""
"The Friends of Ringo Ishikawa","Yeo","Circle Entertainment","April 4, 2019","[556]"
"A Frog Game","EntwicklerX","EntwicklerX","October 22, 2020",""
"Frogun","Molegato","Top Hat Studios, Inc","August 2, 2022","[557]"
"From Shadows","Klabater","Klabater","March 24, 2021",""
"Front Mission 1st: Remake","MegaPixel Studio","Forever Entertainment","November 30, 2022",""
"Frontline Zed","Forever Entertainment","Forever Entertainment","August 6, 2020","[558][559]"
"Frozen Friends","Digital Game Group","Digital Game Group","February 28, 2020",""
"FruitFall Crush","System 3","System 3","December 21, 2017","[560]"
"Frutakia 2","Crazysoft","Crazysoft","October 4, 2018","[561]"
"Fuga: Melodies of Steel","CyberConnect2","CyberConnect2","July 29, 2021",""
"Fuga: Melodies of Steel 2","CyberConnect2","CyberConnect2","May 11, 2023",""
"FullBlast","Ufo Crash Games","Ratalaika Games","September 7, 2018","[562][563]"
"Full Kiss SS","Giga","Entergram","October 28, 2021","[564]"
"Fun! Fun! Animal Park","Nippon Columbia","Aksys Games","March 28, 2019","[565]"
"FunBox Party","eHeroes","Drageus Games","August 14, 2018","[346][347]"
"Funghi Explosion","Success","D3Publisher","December 20, 2018",""
"Funko Fusion","10:10 Games","10:10 Games","November 15, 2024",""
"Funny Bunny Adventures","mPower Games Studio","Drageus Games","December 24, 2019","[566]"
"#Funtime","One Guy Games","The Quantum Astrophysicists Guild","July 16, 2020",""
"Fureraba: Friend to Lover","SMEE","NekoNyan","TBA","[567]"
"Furi","The Game Bakers","The Game Bakers","January 11, 2018",""
"Furwind","Boomfire Games","JP: EastAsiaSoftWW: JanduSoft","June 27, 2019","[117][118]"
"Fury Unleashed","Awesome Games Studio","Awesome Games","May 8, 2020","[400][401]"
"Fuser","Harmonix","NCSoft","November 10, 2020",""
"Fuuraiki 4","FOG Inc.","Nippon Ichi Software","July 8, 2021",""
"Fuyu Kiss","Giga","Entergram","November 25, 2021","[568]"
"FuzzBall","ShadowLair Games","ShadowLair Games","August 20, 2020","[569][570]"
"Gachinco Tennis S","Alphawing Games","Alphawing Games","January 28, 2021",""
"Gal Guardians: Demon Purge","Inti Creates","Inti Creates","February 23, 2023",""
"Gal Gun 2","Inti Creates","JP: Inti CreatesWW: PQube","March 15, 2018",""
"Gal Gun: Double Peace","Inti Creates","JP: Inti CreatesWW: PQube","March 17, 2022",""
"Gal Gun Returns","Inti Creates","JP: Inti CreatesWW: PQube","January 28, 2021",""
"Gal Metal","DMM Games","DMM Games","February 8, 2018","[571][572]"
"Galak-Z: The Void: Deluxe Edition","17-Bit","Golem Consulting","March 26, 2019","[573]"
"Galak-Z: Variant S","17-Bit","GungHo Online Entertainment","June 28, 2018","[574]"
"Galaxy Champions TV","aQuadiun","Silesia Games","October 3, 2019",""
"Galaxy of Pen & Paper +1 Edition","Behold Studios","Behold Studios","April 8, 2020","[575]"
"Galaxy Squad","Kazakov Oleg","Big Way","September 1, 2021","[576]"
"Galaxy Warfighter","Qplaze","JoyBits","April 16, 2020",""
"Game Builder Garage","Nintendo EPD","Nintendo","June 11, 2021",""
"Game Dev Story","Kairosoft","JP: KairosoftWW: SNK","October 11, 2018",""
"Game Dev Tycoon","Greenheart Games","Greenheart Games","October 8, 2020",""
"The Game Paradise: Crusin Mix Special","City Connection","City Connection","December 19, 2019",""
"Gamedec","Anshar Studios","Anshar Studios","TBA","[577]"
"Ganbare! Super Strikers","Ratalaika Games","JP: Worker BeeWW: Ratalaika Games","December 5, 2019","[578][579][580]"
"Gang Beasts","Boneloaf","Boneloaf","October 12, 2021",""
"Garage","Zombie Dynamics","TinyBuild","May 10, 2018","[581]"
"Garbage Pail Kids: Mad Mike and the Quest for Stale Gum","Digital Eclipse, Retrotainment Games","iam8bit","October 25, 2022","[582]"
"Garden Story","Picogram","Rose City Games","August 11, 2021","[583]"
"The Gardens Between","The Voxel Agents","The Voxel Agents","September 20, 2018",""
"Garfield Kart: Furious Racing","Microids","Microids","November 7, 2019",""
"Garfield Lasagna Party","Balio Studio","Microids","November 15, 2022","[584]"
"Gargoyles Remastered","Empty Clip Studios","Disney Games","October 19, 2023",""
