"Title","Developer(s)","Publisher(s)","Regions released","","","Ref."
"Hugo","ITE Media","ITE Media","Unreleased","1998","Unreleased",""
"Hugo 2","ITE Media","ITE Media","Unreleased","April 1999","Unreleased",""
"Hugo: Black Diamond Fever","ITE Media","ITE Media","Unreleased","2001","Unreleased",""
"Hugo: The Evil Mirror","ITE Media","ITE Media","Unreleased","May 2002","December 15, 2003",""
"Hugo: Frog Fighter","ITE Media","ITE Media","Unreleased","February 15, 2002","Unreleased",""
"Hugo: The Quest for the Sunstones","ITE Media","ITE Media","Unreleased","November 3, 2000","Unreleased",""
"Hunchback of Notredame","The Code Monkeys","Midas Interactive","Unreleased","April 12, 2002","Unreleased",""
"Hunter X Hunter: Maboroshi no Greed Island","Konami","Konami","October 26, 2000","Unreleased","Unreleased",""
"Hunter X Hunter: Ubawareta Aura Stone","Konami","Konami","September 27, 2001","Unreleased","Unreleased",""
"Hyakujuu Sentai GaoRanger","Bandai","Bandai","November 29, 2001","Unreleased","Unreleased",""
"Hybrid","Vulcan Software","Midas Interactive Entertainment","Unreleased","April 12, 2002","Unreleased","[73]"
"Hydro Thunder","Blue Shift","Midway Games","Unreleased","2000","February 29, 2000",""
"Hyouryuu Ki: The Reportage Beyond the Sea","KSS","KSS","October 28, 1999","Unreleased","Unreleased",""
"Hyper 3-D Pinball•Tilt!PAL","NMS Software","Virgin Interactive","February 28, 1997","January 1997","Unreleased",""
"Hyper Crazy Climber","Nihon Bussan","Nihon Bussan","February 23, 1996","Unreleased","Unreleased",""
"Hyper Final Match TennisJP•Hyper Tennis: Final MatchPAL","Human Entertainment","Human Entertainment","March 22, 1996","November 15, 1996","Unreleased",""
"Hyper Formation Soccer","Human Entertainment","Human Entertainment","October 13, 1995","Unreleased","Unreleased",""
"Hyper Pachinko","Konami","Konami","July 27, 2000","Unreleased","Unreleased",""
"Hyper Securities 2","Pack-In-Video","Victor Interactive Software","June 25, 1998","Unreleased","Unreleased",""
"Hyper Rally","Harvest One","Harvest One","August 30, 1996","Unreleased","Unreleased",""
"I.Q. Final•Kurushi Final: Mental BlocksPAL","SCEI","SCEIJP, SCEEPAL","December 23, 1998","August 1999","Unreleased",""
"I'Max Shogi II","I'Max","I'Max","October 9, 1997","Unreleased","Unreleased",""
"Iblard: Laputa no Kaeru Machi","TV Asahi","System Sacom","October 16, 1997","Unreleased","Unreleased",""
"Ichigeki: Hagane no Hito","Opus","Bandai","November 2, 1999","Unreleased","Unreleased",""
"Ide Yosuke Meijin no Shinmi Sen Mahjong","Capcom","Capcom","June 28, 1996","Unreleased","Unreleased",""
"Ide Yosuke no Mahjong Kazoku","Opus","SETA Corporation","November 3, 1995","Unreleased","Unreleased",""
"Ide Yosuke no Mahjong Kyoshitsu","Athena","Athena","December 2, 1999","Unreleased","Unreleased",""
"Idol Janshi Suchie-Pai Limited","Jaleco","Jaleco","March 24, 1995","Unreleased","Unreleased",""
"Idol Janshi Suchie-Pai II Limited","Jaleco","Jaleco","October 20, 1996","Unreleased","Unreleased",""
"Idol Promotion: Yumie Suzuki","Allumer","Allumer","May 31, 1996","Unreleased","Unreleased",""
"Igo o Nintarou!","DigiCube","DigiCube","March 28, 2002","Unreleased","Unreleased",""
"IHRA Drag Racing","Digital Dialect","Bethesda Softworks","Unreleased","Unreleased","September 20, 2001",""
"IK+","Ignition Entertainment","Ignition Entertainment","Unreleased","2003","Unreleased",""
"Ikasama Mahjong","Idea Factory","Idea Factory","May 2, 2000","Unreleased","Unreleased",""
"Ikkyuu-san: The Quiz","Bandai","Bandai","March 28, 2002","Unreleased","Unreleased",""
"Image Fight and X-Multiply","Irem","Xing Entertainment","March 19, 1998","Unreleased","Unreleased",""
"Imadoki no Vampire: Bloody Bride","Jorudan","Atlus","December 27, 1996","Unreleased","Unreleased",""
"Impact Racing","Funcom Dublin","JVC Musical Industries","Unreleased","July 1996","September 15, 1996",""
"In Cold Blood","Revolution Software","Dreamcatcher InteractiveNA, SCEEPAL","Unreleased","July 14, 2000","July 15, 2001",""
"In the Hunt","Funcom Dublin","THQ","November 10, 1995","October 1996","March 15, 1996",""
"Inagawa Junji: Kyoufu no Yashiki","Billiken Soft","Visit","July 1, 1999","Unreleased","Unreleased",""
"Inagawa Junji: Mayonaka no Taxi","Kaku","Visit","July 13, 2000","Unreleased","Unreleased",""
"Incredible Crisis","Polygon Magic","Titus InteractiveNA,PAL, Tokuma Shoten Publishing Co., LtdJP","June 24, 1999","November 24, 2000","November 6, 2000",""
"The Incredible Hulk: The Pantheon Saga","Attention to Detail","Eidos Interactive","Unreleased","December 1996","February 28, 1997",""
"Independence Day","Radical Entertainment","Fox Interactive","Unreleased","July 1997","March 15, 1997",""
"Indy 500","Tomy","TomyJP, JVC Music EuropePAL","May 27, 1997","April 1998","Unreleased",""
"Infestation","Frontier Developments","Ubisoft","Unreleased","September 1, 2000","Unreleased",""
"Infinity","KID","KID","March 23, 2000","Unreleased","Unreleased",""
"Initial D","Kodansha","Kodansha","January 7, 1999","Unreleased","Unreleased",""
"Inspector Gadget: Gadget's Crazy Maze","Light & Shadow Productions, Vision Media Engineering","Ubisoft","Unreleased","June 8, 2001","August 9, 2001",""
"I.Q.: Intelligent Qube•KurushiPAL","SCEI","SCEEPAL, SCEIJP, SCEANA","January 31, 1997","October 1997","September 30, 1997",""
"Intellivision Classic Games","Gray Matter","Activision","Unreleased","Unreleased","September 15, 1999",""
"International Cricket Captain 2000","Empire Interactive","Empire Interactive","Unreleased","November 3, 2000","Unreleased",""
"International Cricket Captain 2001 Ashes Edition","Empire Interactive","Empire Interactive","Unreleased","August 24, 2001","Unreleased",""
"International Cricket Captain 2002","Empire Interactive","Empire Interactive","Unreleased","May 24, 2002","Unreleased",""
"International Moto X","Graftgold","Time Warner InteractivePAL, Coconuts JapanJP","September 27, 1996","December 1996","Unreleased",""
"International Soccer Excite Stage 2000","Art","Epoch","August 24, 2000","Unreleased","Unreleased",""
"International Superstar Soccer","Konami","Konami","Unreleased","December 8, 2000","Unreleased",""
"International Superstar Soccer Deluxe","Konami","Konami","Unreleased","February 1997","Unreleased",""
"International Superstar Soccer Pro 98","Konami","Konami","Unreleased","September 1998","August 21, 1999",""
"International Track & Field","Konami","Konami","May 31, 1996","June 1996","June 15, 1996",""
"International Track & Field 2000•International Track & Field 2PAL•Ganbare Nippon! Olympics 2000JP","Konami","Konami","July 13, 2000","2000","December 10, 1999",""
"Interplay Sports Baseball 2000•Baseball 2000PAL","Interplay","Interplay","Unreleased","November 1999","April 14, 1999",""
"Inu no Kaikata","Billiken Soft","D3Publisher","April 18, 2002","Unreleased","Unreleased",""
"Inuyasha","Bandai","Bandai","December 27, 2001","Unreleased","Unreleased",""
"Inuyasha: A Feudal Fairy Tale•Inuyasha: Sengoku Otogi KassenJP","Dimps Corporation","Bandai","December 5, 2002","Unreleased","April 8, 2003",""
"Invasion","Microids","Microids","Unreleased","February 1999","Unreleased",""
"Invasion from Beyond (B-Movie) •L'invasion vient de l'espaceFR","King of the Jungle","GT Interactive","Unreleased","November 1998","November 30, 1998",""
"Ippatsu Gyakuten: Legend of the Gamble King","Island Creation","Island Creation","January 10, 1997","Unreleased","Unreleased",""
"Irem Arcade Classics","Irem","I'Max","April 26, 1996","Unreleased","Unreleased",""
"Iron and Blood","Take-Two Interactive","Acclaim","Unreleased","November 1996","October 31, 1996",""
"Iron Man and X-O Manowar in Heavy Metal","Realtime Associates","Acclaim","January 31, 1997","November 1996","October 30, 1996",""
"Iron Soldier 3","Eclipse Software Design","Vatical Entertainment, Telegames","Unreleased","Unreleased","June 14, 2000",""
"Irritating Stick","Jaleco Entertainment","Jaleco Entertainment","March 19, 1998","Unreleased","January 31, 1999",""
"...Iru!","Soft Machine","Takara","March 26, 1998","Unreleased","Unreleased",""
"iS – internal section","positron","Square","January 28, 1999","Unreleased","Unreleased",""
"Ishin no Arashi","Koei","Koei","December 11, 1997","Unreleased","Unreleased",""
"Ishin no Arashi: Bakumatsu Shishiden","Koei","Koei","February 4, 1999","Unreleased","Unreleased",""
"ISS Pro Evolution•World Soccer Jikkyou Winning Eleven 4JP","Konami","Konami","September 2, 1999","February 25, 2000","February 15, 2000",""
"ISS Pro Evolution 2•World Soccer Jikkyou Winning Eleven 2000: U-23 Medal Heno ChousenJP","Konami Computer Entertainment Tokyo","Konami","August 24, 2000","March 23, 2001","Unreleased",""
"Itadaki Street: Gorgeous King","Tomcat System","Enix","September 23, 1998","Unreleased","Unreleased",""
"The Italian Job","Pixelogic","SCiPAL, Rockstar GamesNA","Unreleased","October 5, 2001","May 3, 2002",""
"Itsuka, Kasanariau Ashita e: Sayuri-hen","MBA International","Sony Music Entertainment Japan","August 26, 1999","Unreleased","Unreleased",""
"Itsuka, Kasanariau Ashita e: Shirou-hen","MBA International","Sony Music Entertainment Japan","August 26, 1999","Unreleased","Unreleased",""
"Iwatobi Penguin Rocky & Hopper","F2 Company","Nippon Rental","April 25, 1997","Unreleased","Unreleased",""
"Iwatobi Penguin Rocky & Hopper 2 – Tantei Monogatari","Culture Publishers","Culture Publishers","February 26, 1998","Unreleased","Unreleased",""
"J's Racin'","TYO","Digital Frontier","September 25, 1997","Unreleased","Unreleased",""
"J.B. Harold: Blue Chicago Blues","Riverhillsoft","Riverhillsoft","November 22, 1995","Unreleased","Unreleased",""
"J.League Jikkyou Winning Eleven","KCE Sapporo","Konami","July 21, 1995","Unreleased","Unreleased",""
"J.League Jikkyou Winning Eleven 2000","Konami","Konami","June 29, 2000","Unreleased","Unreleased",""
"J.League Jikkyou Winning Eleven 2000 2nd","Konami","Konami","November 30, 2000","Unreleased","Unreleased",""
"J.League Jikkyou Winning Eleven 2001","Konami","Konami","June 21, 2001","Unreleased","Unreleased",""
"J.League Jikkyou Winning Eleven 3","Konami","Konami","December 11, 1997","Unreleased","Unreleased",""
"J.League Jikkyō Winning Eleven '97","Konami","Konami","November 22, 1996","Unreleased","Unreleased",""
"J.League Soccer: Jikkyou Survival League","Tecmo","Tecmo","December 22, 1999","Unreleased","Unreleased",""
"J.League Virtual Stadium '96","EA Sports","Electronic Arts","April 26, 1996","Unreleased","Unreleased",""
"J.League Winning Eleven '98-'99","KCE Sapporo","Konami","December 3, 1998","Unreleased","Unreleased",""
"Jackie Chan Stuntmaster","Radical Entertainment","SCEANA, SCEEPAL","Unreleased","2000","March 29, 2000",""
"Jade Cocoon: Story of the Tamamayu","Genki","GenkiJP, Crave EntertainmentNA, UbisoftPAL","December 3, 1998","December 10, 1999","November 30, 1998",""
"JailBreaker","Highwaystar","NEC Interchannel","June 3, 1999","Unreleased","Unreleased",""
"Jaja Uma Quartet: Mega Dream Destruction","Studio OX","GMF","September 10, 1998","Unreleased","Unreleased",""
"Jaleco Collection Vol. 1","Pacific Century Cyber Works","Pacific Century Cyber Works","October 23, 2003","Unreleased","Unreleased",""
"James Pond 2: Codename: Robocod","Vectordean","Play It Ltd","Unreleased","November 2003","Unreleased",""
"Jang Jang Koi Shimashow: Lovely Pop 2 in 1","Visco","Visco","February 26, 1998","Unreleased","Unreleased",""
"Jang Jang Koi Shimashow: Separate 1 - Jang Jang Shimashow","Visco","Visco","April 27, 2000","Unreleased","Unreleased",""
"Jang Jang Koi Shimashow: Separate 2 - Koi Koi Shimashow","Visco","Visco","April 27, 2000","Unreleased","Unreleased",""
"Jarin-ko Chie: The Hanafuda","Yuki","Bandai","November 29, 2001","Unreleased","Unreleased",""
"Jeff Wayne's The War of the Worlds","Pixelogic","GT Interactive","Unreleased","November 19, 1999","Unreleased",""
"Jellyfish: The Healing Friend","Visit","Visit","September 28, 2000","Unreleased","Unreleased",""
"Jeopardy!","Artech Studios","Hasbro Interactive","Unreleased","Unreleased","December 9, 1998",""
"Jeopardy! 2","Artech Studios","Hasbro Interactive","Unreleased","Unreleased","September 28, 2000",""
"Jeremy McGrath Supercross '98","Probe Entertainment","Acclaim","Unreleased","July 1998","May 31, 1998",""
"Jeremy McGrath Supercross 2000","Acclaim","Acclaim","Unreleased","August 25, 2000FR,PAL","July 14, 2000",""
"Jersey Devil","Behaviour Interactive","SCEANA, Ocean SoftwarePAL, KonamiJP","June 24, 1999","December 12, 1997","May 31, 1998",""
"Jet Ace","Phoenix Games","Phoenix Games","Unreleased","November 15, 2004","Unreleased",""
"Jet de Go! Let's Go By Airliner","Racdym","Taito","February 1, 2000","Unreleased","Unreleased",""
"Jet Moto•Jet RiderPAL","SingleTrac, Locomotive Games","SCEANA, SCEEPAL, SCEIJP","August 7, 1997","February 1997","October 31, 1996",""
"Jet Moto 2•Jet Rider 2PAL","SingleTrac","SCEANA","Unreleased","April 1998","October 31, 1997",""
"Jet Moto 3","SingleTrac","SCEANA","Unreleased","Unreleased","August 31, 1999",""
"Jetracer","Thayer GFX","Midas Interactive","Unreleased","April 12, 2001","Unreleased",""
"JGTC: All-Japan Grand Touring Car Championship","TYO","TYO","June 18, 1998","Unreleased","Unreleased",""
"Jigoku Sensei NuBe","TOSE","Bandai","May 16, 1997","Unreleased","Unreleased",""
"Jigsaw Madness•Jigsaw Island: Japan GraffitiJP","Nippon Ichi Software","XS Games","September 13, 1996","June 27, 2003","December 1, 2002",""
"Jigsaw World","Nippon Ichi Software","Nippon Ichi Software","February 3, 1995","Unreleased","Unreleased",""
"Jikki Pachi-Slot Tettei Kouryaku: Speed-CR Kinkakuji 3","Culture Publishers","Culture Publishers","August 20, 1998","Unreleased","Unreleased",""
"Jikki Pachi-Slot Tettei Kouryaku: Yamasa Collection","Culture Publishers","Culture Publishers","March 26, 1998","Unreleased","Unreleased",""
"Jikkyou Golf Master 2000","Konami","Konami","March 30, 2000","Unreleased","Unreleased",""
"Jikkyou J.League 1999 Perfect Striker","Konami","Konami","December 2, 1999","Unreleased","Unreleased",""
"Jikkyou Oshaberi Parodius: Forever With Me","Stone Heads","Konami","December 20, 1996","Unreleased","Unreleased",""
"Jikkyou Powerful Pro Yakyuu '95","Konami","Konami","December 22, 1994","Unreleased","Unreleased",""
"Jikkyou Powerful Pro Yakyuu '95 Kaimakuban","Diamond Head","Konami","July 14, 1995","Unreleased","Unreleased",""
"Jikkyou Powerful Pro Yakyuu '97 Kaimakuban","Diamond Head","Konami","August 28, 1997","Unreleased","Unreleased",""
"Jikkyou Powerful Pro Yakyuu '98 Kaimakuban","Konami","Konami","July 23, 1998","Unreleased","Unreleased",""
"Jikkyou Powerful Pro Yakyuu '98 Ketteiban","Konami","Konami","December 23, 1998","Unreleased","Unreleased",""
"Jikkyou Powerful Pro Yakyuu '99 Kaimakuban","Konami","Konami","July 22, 1999","Unreleased","Unreleased",""
"Jikkyou Powerful Pro Yakyuu '99 Ketteiban","Konami","Konami","December 25, 1999","Unreleased","Unreleased",""
"Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban","Diamond Head","Konami","July 19, 2000","Unreleased","Unreleased",""
"Jikkyou Powerful Pro Yakyuu 2000 Ketteiban","Konami","Konami","December 21, 2000","Unreleased","Unreleased",""
"Jikkyou Powerful Pro Yakyuu 2001","Diamond Head","Konami","June 7, 2001","Unreleased","Unreleased",""
"Jikkyou Powerful Pro Yakyuu 2001 Ketteiban","Diamond Head","Konami","December 20, 2001","Unreleased","Unreleased",""
"Jikkyou Powerful Pro Yakyuu 2002 Haru","Diamond Head","Konami","March 14, 2002","Unreleased","Unreleased",""
"Jikkyou Powerful Pro Yakyuu Premium-Ban","Konami","Konami","January 23, 2003","Unreleased","Unreleased",""
"Jikuu Tantei DD: Maboroshi no Lorelei","System Sacom","ASCII Entertainment","July 26, 1996","Unreleased","Unreleased",""
"Jikuu Tantei DD 2: Hangyaku no Apsalar","System Sacom","ASCII Entertainment","August 27, 1998","Unreleased","Unreleased",""
"Jimmy Johnson VR Football '98","Padded Cell Studios","Interplay","Unreleased","Unreleased","September 1997",""
"Jimmy White's 2: Cueball","Awesome Developments","Virgin Interactive","Unreleased","April 7, 2000","November 15, 2000",""
"Jingle Cats: Love Para Daisakusen no Maki","Sony Music Entertainment Japan","Sony Music Entertainment Japan","July 16, 1998","Unreleased","Unreleased",""
"Jinx","HammerHead, Ltd.","SCEE","Unreleased","January 31, 2003","Unreleased",""
"Jissen Pachi-Slot Hisshouhou! 5","Sammy Studios","Sammy Studios","November 27, 1997","Unreleased","Unreleased",""
"Jissen Pachi-Slot Hisshouhou! Disc Up","Sammy Studios","Sammy Studios","November 27, 1997","Unreleased","Unreleased",""
"Jissen Pachi-Slot Hisshouhou! Sammy Revolution","Sammy Studios","Sammy Studios","June 25, 1998","Unreleased","Unreleased",""
"Jissen Pachi-Slot Hisshouhou! Sammy Revolution 2","Sammy Studios","Sammy Studios","April 8, 1999","Unreleased","Unreleased",""
"Jissen Pachi-Slot Hisshouhou! Single: Epsilon R","Sammy Studios","Sammy Studios","October 28, 1999","Unreleased","Unreleased",""
"Jissen Pachi-Slot Hisshouhou! Single: Kamen Rider & Gallop","Sammy Studios","MaxBet","October 28, 1999","Unreleased","Unreleased",""
"Jissen Pachi-Slot Hisshouhou! Single: Kamen Rider V3","Sammy Studios","MaxBet","October 28, 1999","Unreleased","Unreleased",""
"Jissen Pachi-Slot Hisshouhou! Single: Kung-Fu Lady","Sammy Studios","MaxBet","February 3, 2000","Unreleased","Unreleased",""
"Jissen Pachi-Slot Hisshouhou! Single: Sea Master X","Sammy Studios","MaxBet","November 11, 1999","Unreleased","Unreleased",""
"Jissen Pachi-Slot Hisshouhou! Single: Super Star Dust 2","Sammy Studios","MaxBet","February 17, 2000","Unreleased","Unreleased",""
"Jissen Pachi-Slot Hisshouhou! Single: The Kingdom","Sammy Studios","MaxBet","February 3, 2000","Unreleased","Unreleased",""
"Jitsumei Jikkyou Keiba Dream Classic","Dream Japan","Bandai","May 18, 2000","Unreleased","Unreleased",""
"JoJo's Bizarre Adventure","Capcom","Capcom","October 14, 1999","2000","March 31, 2000",""
"Johnny Bazookatone","U.S. Gold Ltd.","U.S. Gold Ltd.","April 26, 1996","January 1996","February 15, 1996",""
"Jockey Zero","Right Stuff","Right Stuff","November 1, 1996","Unreleased","Unreleased",""
"Jonah Lomu Rugby","Codemasters","Rage Software","Unreleased","March 31, 1997","Unreleased",""
"Joryuu Janshi ni Chousen","Culture Brain","Culture Brain","February 11, 1999","Unreleased","Unreleased",""
"Jounetsu * Nekketsu Athletes: Nakimushi Coach no Nikki","Right Stuff","Right Stuff","October 9, 1997","Unreleased","Unreleased",""
"Judge Dredd","Gremlin Interactive","Activision","Unreleased","November 1997","March 31, 1998",""
"Juggernaut","Jaleco Entertainment","Will","November 19, 1998","Unreleased","September 30, 1999",""
"Jumping Flash!","Exact","Sony Computer Entertainment","April 28, 1995","September 29, 1995","November 1, 1995",""
"Jumping Flash! 2","Exact","NA Sony Computer Entertainment","April 26, 1996","October 1, 1996","August 21, 1996",""
"JumpStart Wildlife Safari Field Trip","Dice","Knowledge Adventure Inc.","Unreleased","Unreleased","October 19, 2001",""
"Junclassic C.C. & Rope Club","T&E Soft","T&E Soft","April 23, 1998","Unreleased","Unreleased",""
"Jungle Park","Saru Brunei","Bandai Visual","February 26, 1998","Unreleased","Unreleased",""
"The Jungle Book Groove PartyEU•Walt Disney's The Jungle Book: Rhythm N'GrooveNA","Ubisoft","Ubisoft","Unreleased","November 17, 2000","December 8, 2000",""
"Junjou de Karen Meimai Kishi-dan: Spectral Force Seishoujo Gaiden","Idea Factory","Idea Factory","November 25, 1999","Unreleased","Unreleased",""
"Junk Brain Diagnosis","Exit","Oracion","March 25, 1999","Unreleased","Unreleased",""
"Jupiter Strike","Taito","PALNA Acclaim, JP Taito","August 25, 1995","December 1995","December 6, 1995",""
"K-1 The Arena Fighters•Fighting IllusionJP","Daft","THQ","August 9, 1996","May 1997","February 28, 1997","[74]"
"K-1 Grand Prix","Daft","Jaleco Entertainment","Unreleased","Unreleased","January 25, 2000",""
"K-1 Oujya ni Narou!","Daft","Xing Entertainment","March 30, 2000","Unreleased","Unreleased",""
"K-1 Revenge","Daft","Jaleco Entertainment","September 11, 1997","Unreleased","February 28, 1999",""
"K-1 World Grand Prix 2001 Kaimakuden","Daft","Konami","March 29, 2001","Unreleased","Unreleased",""
"K9.5: Live in Airedale","Lightspan","Lightspan","Unreleased","Unreleased","1997",""
"K9.5: The Hollywood Premiere","Lightspan","Lightspan","Unreleased","Unreleased","1997",""
"K9.5: The Tail-Wag Tour","Lightspan","Lightspan","Unreleased","Unreleased","1997",""
"K9.5: We are the Dogs","Lightspan","Lightspan","Unreleased","Unreleased","1997",""
"K9.5: WebTunes","Lightspan","Lightspan","Unreleased","Unreleased","1997",""
"Kaeru no Ehon: Adventure for the Lost Memories","Infinity","Victor Interactive Software","October 21, 1999","Unreleased","Unreleased",""
"Kaettekita Cyborg Kuro-Chan","Konami","Konami","November 28, 2002","Unreleased","Unreleased",""
"Kaettekita Pachiokun Dream Collection","Coconuts Japan","Coconuts Japan","July 2, 1998","Unreleased","Unreleased",""
"Kagaku Ninja-Tai Gatchaman: The Shooting","Warashi","Bandai","June 27, 2002","Unreleased","Unreleased",""
"Kagayaku Kisetsu e","Kid","Kid","April 1, 1999","Unreleased","Unreleased",""
"Kagero: Deception 2","JPNA Tecmo","JPNA Tecmo, PAL Virgin Interactive","July 23, 1998","September 10, 1999","October 14, 1998",""
"Kahen Soukou Gunbike: Speed Power Gunbike","Inti Creates","Sony Music Entertainment Japan","April 23, 1998","Unreleased","Unreleased",""
"Kaibutsu Para-Dice","Make Soft","Make Soft","July 17, 1997","Unreleased","Unreleased",""
"Kaijuu Senki","Produce!","Produce!","November 15, 1996","Unreleased","Unreleased",""
"Kaikan Phrase: Datenshi Kourin","Produce!","Enix","February 24, 2000","Unreleased","Unreleased",""
"Kaishin! Derby Analyst","Media Entertainment","Media Entertainment","December 21, 2000","Unreleased","Unreleased",""
"Kaitohranma Miyabi","Imagineer","Imagineer","January 21, 1999","Unreleased","Unreleased",""
"Kaitou Apricot","Kid","Takuyo","May 22, 2003","Unreleased","Unreleased",""
"Kakinoki Shogi","ASCII Entertainment","ASCII Entertainment","December 22, 1994","Unreleased","Unreleased",""
"Kakinoki Shogi 2","ASCII Entertainment","ASCII Entertainment","March 26, 1998","Unreleased","Unreleased",""
"Kakuge-Yaro: Fighting Game Creator","Outback","Increment-P","February 17, 2000","Unreleased","Unreleased",""
"Kakugo no Susume","Tomy","Tomy","March 28, 1997","Unreleased","Unreleased",""
"Kamen Rider","KAZe","Bandai","October 1, 1998","Unreleased","Unreleased",""
"Kamen Rider Agito","Kaze","Bandai","November 29, 2001","Unreleased","Unreleased",""
"Kamen Rider: The Bike Race","Highwaystar","Bandai","October 25, 2001","Unreleased","Unreleased",""
"Kamen Rider Heroes","Bandai","Bandai","July 18, 2002","Unreleased","Unreleased",""
"Kamen Rider Kuuga","Kaze","Bandai","December 21, 2000","Unreleased","Unreleased",""
"Kamen Rider Ryuki","Digifloyd","Bandai","November 28, 2002","Unreleased","Unreleased",""
"Kamen Rider V3","Kaze","Bandai","September 14, 2000","Unreleased","Unreleased",""
"Kaminari Ishiyumi Kihei Guybrave","Avit","Axelia","July 17, 1997","Unreleased","Unreleased",""
"Kaminari Ishiyumi Kihei Guybrave II","Avit","Axelia","October 29, 1998","Unreleased","Unreleased",""
"Kanazawa Shogi '95","SETA Corporation","SETA Corporation","April 21, 1995","Unreleased","Unreleased",""
"Kanazawa Shogi Tsuki","SETA Corporation","SETA Corporation","May 20, 1999","Unreleased","Unreleased",""
"Karan Koron Gakuen: Doki Doki Hen","J-Wing","J-Wing","February 24, 2000","Unreleased","Unreleased",""
"Karan Koron Gakuen: Munekyun Hen","J-Wing","J-Wing","March 30, 2000","Unreleased","Unreleased",""
"Karan Koron Gakuen: Pure Love Hen","J-Wing","J-Wing","April 20, 2000","Unreleased","Unreleased",""
"Kart Challenge","Interactive entertainment","Midas Interactive","Unreleased","2000","Unreleased",""
"Kartia: The Word of Fate •RebusJP•Legend of KartiaPAL","Atlus, KonamiPAL","Atlus, KonamiPAL","March 26, 1998","December 25, 1999","August 7, 1998",""
"Karyuu Jyou","Gust","Gust","September 25, 1997","Unreleased","Unreleased",""
"Kasei Monogatari","Vistec","ASCII Entertainment","October 22, 1998","Unreleased","Unreleased",""
"Katon-Kun","Irem","Irem","September 21, 2000","Unreleased","Unreleased",""
"Katou Hifumi Kudan: Shogi Club","Hect","Hect","November 27, 1997","Unreleased","Unreleased",""
"Kattobi Tune","Genki","Genki","April 23, 1998","Unreleased","Unreleased",""
"Kawa no Nushi Tsuri: Hikyou o Motomete","Victor Interactive Software","Victor Interactive Software","August 20, 1998","Unreleased","Unreleased",""
"Kaze no Notam","Artdink","Artdink","September 11, 1997","Unreleased","Unreleased",""
"Kaze no Oka Kouen Nite","TechnoSoft","TechnoSoft","September 2, 1998","Unreleased","Unreleased",""
"KazMania: Chaos in KazMania","Lightspan","Lightspan","Unreleased","Unreleased","1997",""
"KazMania: Trail of Gems","Lightspan","Lightspan","Unreleased","Unreleased","1997",""
"Keeper","Fupac, Success Corp.","Success Corp.","October 24, 2002","Unreleased","Unreleased",""
"Keiba Eight '98","Shangri-La","Shangri-La","April 29, 1998","Unreleased","Unreleased",""
"Keiba Eight '98 Akifuyu","Shangri-La","Shangri-La","October 22, 1998","Unreleased","Unreleased",""
"Keiba Eight '99 Haru Natsu","Shangri-La","Shangri-La","April 1, 1999","Unreleased","Unreleased",""
"Keiba Saisho no Housoku '95","Copya Systems","Copya Systems","June 23, 1995","Unreleased","Unreleased",""
"Keiba Saisho no Housoku '96 Vol. 1","Copya Systems","Copya Systems","January 13, 1996","Unreleased","Unreleased",""
"Keiba Saisho no Housoku '96 Vol. 2: G-1 Road","Shangri-La","Shangri-La","November 1, 1996","Unreleased","Unreleased",""
"Keiba Saisho no Housoku '97 Vol. 1: Nerae! Banbaken!","Shangri-La","Shangri-La","April 11, 1997","Unreleased","Unreleased",""
"Keiba Saisho no Housoku '97 Vol. 2: To Hit","Shangri-La","Shangri-La","October 16, 1997","Unreleased","Unreleased",""
"Keiba Saisho no Housoku '99 Aki Fuyu","Shangri-La","Shangri-La","October 21, 1999","Unreleased","Unreleased",""
"Kekkon: Marriage","West One","Shogakukan","October 10, 1996","Unreleased","Unreleased",""
"Kenki Ippatsu! Crane Master ni Narou!","DDL, Inc.","FAB Communications","August 3, 2000","Unreleased","Unreleased",""
"Kenki Ippatsu! Shovel Master ni Narou!","DDL, Inc.","FAB Communications","August 3, 2000","Unreleased","Unreleased",""
"Kensei: The King of Boxing•Victory Boxing Champion EditionPAL","Victor Interactive Software","Victor Interactive Software","November 15, 1996","December 1996","Unreleased",""
"Kensei: Sacred Fist","Konami","KCET","November 19, 1998","1998","November 30, 1998",""
"Kero Kero King","Amedio","Media Factory","November 2, 2000","Unreleased","Unreleased",""
"Khamrai","Alpha Unit","Namco","October 5, 2000","Unreleased","Unreleased",""
"Kickboxing•Kickboxing KnockoutEU•Simple 1500 Series Vol. 64: The KickboxingJP","Jorudan","Agetec Inc.","July 5, 2002","2002","March 1, 2002",""
"Kick Off World","Anco Software","Funsoft","Unreleased","June 1998","Unreleased",""
"Kid Klown in Crazy Chase 2: Love Love Hani Soudatsusen","Kemco","Kemco","December 6, 1996","Unreleased","Unreleased",""
"Kid Mix Section: Character Collection","Kid","Kid","June 28, 2001","Unreleased","Unreleased",""
"Kidou Butouden G Gundam: The Battle","Natsume Co., Ltd.","Bandai","October 10, 2002","Unreleased","Unreleased",""
"Kidou Keisatsu Patlabor: Game Edition","Bandai Visual","Bandai Visual","November 30, 2000","Unreleased","Unreleased",""
"Kidou Senki Gundam W: The Battle","Natsume Co., Ltd.","Bandai","October 10, 2002","Unreleased","Unreleased",""
"Kidou Senshi Gundam Version 2.0","Bec","Bandai","March 29, 1996","Unreleased","Unreleased",""
