"Title","Genre(s)","Developer(s)","Publisher(s)","Release date","","","Addons","Ref."
"Cartoon Network: Battle Crashers","Action & Adventure","Magic Pockets","GameMill Entertainment","Unreleased","Nov 7, 2016","Nov 7, 2016","",""
"Case: Animatronics","Horror","Walnut","Walnut","Jul 19, 2019","Jul 19, 2019","Jul 19, 2019","",""
"Casey Powell Lacrosse 16","Sports","Big Ant Studios","Big Ant Studios","Unreleased","Mar 9, 2016","Mar 9, 2016","",""
"Casey Powell Lacrosse 18","Sports","Big Ant Studios","Crosse Studios","Unreleased","Apr 18, 2018","Apr 18, 2018","X",""
"Cassette Beasts","Role-playing","Bytten Studio","Raw Fury","Unreleased","TBA","TBA","","[35]"
"Cast of the Seven Godsends: Redux","Platformer","Raven Travel Studios","Merge Games","Unreleased","Jul 20, 2016","Jul 20, 2016","",""
"Castaway Paradise","Life simulation","Stolen Couch Games","Stolen Couch Games","Unreleased","Jul 31, 2018","Jul 31, 2018","",""
"Castle Crashers: Remastered","Beat 'em up","The Behemoth","The Behemoth","Unreleased","Sep 9, 2015","Sep 9, 2015","",""
"Castle Invasion: Throne Out","Action & Adventure","Cat Trap Studios","Cat Trap Studios","Unreleased","Oct 11, 2016","Oct 11, 2016","",""
"Castle of No Escape 2","Action role-playing, roguelite, retro","D.E.X Team","Xitilon","Feb 26, 2020","Feb 26, 2020","Feb 26, 2020","",""
"Castles","Puzzle","WhootGames","BadLand Indie","Unreleased","Oct 4, 2016","Oct 4, 2016","",""
"CastleStorm: Definitive Edition","Tower defense","Zen Studios","Zen Studios","Sep 23, 2014","Sep 23, 2014","Sep 23, 2014","",""
"CastleStorm II","Tower defense","Zen Studios","Zen Studios","Jul 31, 2020","Jul 31, 2020","Jul 31, 2020","",""
"Catastronauts","Cooperative action-puzzler","Inertia Game Studios","Inertia Game Studios","Unreleased","Sep 28, 2018","Sep 28, 2018","",""
"Castlevania Advance Collection","Actionplatform-adventure","Konami","Konami","Sep 23, 2021","Sep 23, 2021","Sep 23, 2021","","[36]"
"Castlevania Anniversary Collection","Retro collection, Metroidvania","Konami","Konami","May 16, 2019","May 16, 2019","May 16, 2019","",""
"Cat Quest II","Action role-playing","The Gentlebros","PQube","Oct 24, 2019","Oct 24, 2019","Oct 24, 2019","",""
"Caveman Warriors","Platformer","JanduSoft","JanduSoft","Unreleased","Sep 21, 2017","Sep 21, 2017","",""
"Cel Damage","Racing","Finish Line Games","Finish Line Games","Unreleased","Mar 11, 2016","Mar 11, 2016","",""
"Celeste","Adventure, Platformer","Matt Makes Games","Matt Makes Games","Unreleased","Jan 26, 2018","Jan 26, 2018","",""
"Centipede: Recharged","Puzzle","Adamvision StudiosSneakyBox","Atari, Inc.","Unreleased","Sep 29, 2021","Sep 29, 2021","",""
"Chaos;Child","Visual novel","Nitroplus","5pb.","Dec 18, 2014","Unreleased","Unreleased","",""
"Chaos on Deponia","Point-and-click adventure","Daedalic Entertainment","Daedalic Entertainment","Unreleased","Dec 6, 2017","Dec 6, 2017","",""
"Chariot","Platform","Frima Studio","Frima Studio","Oct 1, 2014","Oct 1, 2014","Oct 1, 2014","",""
"Chasm","Metroidvania","Bit Kid","Bit Kid","Unreleased","Nov 9, 2018","Nov 9, 2018","",""
"Chernobylite","Survival","The Farm 51","All In! Games","Sep 7, 2021","Sep 7, 2021","Sep 7, 2021","",""
"Chess Ultra","Chess","Ripstone","Ripstone","Unreleased","Jun 23, 2017","Jun 23, 2017","X",""
"Chicken Police: Paint it Red!","Adventure","The Wild Gentlemen","HandyGames","Unreleased","Nov 5, 2020","Nov 5, 2020","",""
"Child of Light","Platformrole-playing","Ubisoft Montreal","Ubisoft","Sep 4, 2014","Apr 29, 2014","Apr 29, 2014","",""
"Children of Morta","Action role-playing","Dead Mage","11 Bit Studios","Oct 15, 2019","Oct 15, 2019","Oct 15, 2019","PA",""
"Children of Zodiarcs","Tactical role-playing","Cardboard Utopia","Plug In Digital","Mar 27, 2020","Mar 27, 2020","Mar 27, 2020","PA",""
"Chime Sharp","Music, Puzzle","Chilled Mouse","Chilled Mouse","Unreleased","Feb 24, 2017","Feb 24, 2017","",""
"Chivalry: Medieval Warfare","Fighting","Hardsuit Labs","Activision","Unreleased","Dec 2, 2015","Dec 2, 2015","",""
"Chroma Squad","Turn based, Management","Behold Studios","Bandai Namco Entertainment","Unreleased","May 18, 2017","May 18, 2017","",""
"ChromaGun","First-person shooter, puzzle","Pixel Maniacs","Pixel Maniacs","Unreleased","Aug 23, 2017","Aug 23, 2017","",""
"Chronus Arc","Japanese role-playing","Hit Point","Kemco","Oct 10, 2018","Oct 10, 2018","Oct 10, 2018","PA",""
"The Church in the Darkness","Action Adventure, Stealth","Paranoid Productions","Fellow Traveler","Unreleased","Aug 2, 2019","Aug 2, 2019","X",""
"Circuit Breakers","Shooter","Triverske","Excalibur Games","Unreleased","Aug 16, 2017","Aug 16, 2017","",""
"Circuits","Puzzle","Digital Tentacle","Digital Tentacle","Unreleased","Dec 14, 2017","Dec 14, 2017","",""
"Citadel: Forged with Fire","Massively multiplayer online role-playing","Blue Isle StudiosVirtual Basement","Blue Isle Studios","Unreleased","Nov 1, 2019","Nov 1, 2019","X",""
"Cities: Skylines","City-building, construction and management simulation","Tantalus Media","Paradox Interactive","Apr 21, 2017","Apr 21, 2017","Apr 21, 2017","",""
"Citizens of Space","Role-playing","Eden Industries","Sega","Unreleased","Jun 18, 2019","Jun 18, 2019","",""
"City of Brass","First-person hack & slash roguelike","Uppercut Games","Uppercut Games","Unreleased","May 4, 2018","May 4, 2018","X",""
"Civilization VI","4Xturn-based strategy","Firaxis Games","2K Games","Nov 22, 2019","Nov 22, 2019","Nov 22, 2019","",""
"Claire: Extended Cut","Adventure","Hailstorm Games","Hailstorm Games","Unreleased","Sep 5, 2016","Sep 5, 2016","",""
"Clash","Arena Fighter","FennecFox Entertainment","FennecFox Entertainment","Unreleased","Aug 21, 2015","Aug 21, 2015","","[37]"
"Claws of Furry","Action & Adventure","Terahard","Terahard","Unreleased","Sep 4, 2018","Sep 4, 2018","X",""
"Claybook","Puzzle, Physics Sandbox","Second Order","Second Order","Unreleased","Aug 31, 2018","Aug 31, 2018","X",""
"The Clocker","Puzzle adventure","Wildkid Games","E-Home Entertainment","Dec 27, 2019","Dec 27, 2019","Dec 27, 2019","X",""
"Clockwork Tales: Of Glass and Ink","Point & Click","Artifex Mundi","Artifex Mundi","Unreleased","Jan 22, 2016","Jan 22, 2016","",""
"Clone Drone in the Danger Zone","Actionfighting","Doborog Games","Doborog Games","Unreleased","Jul 27, 2021","Jul 27, 2021","",""
"Close to the Sun","Horror","Storm in a Teacup","Wired Productions","Oct 28, 2019","Oct 29, 2019","Oct 28, 2019","X",""
"Clouds & Sheep 2","Puzzle","HandyGames","HandyGames","Unreleased","Nov 17, 2016","Nov 17, 2016","",""
"ClusterPuck 99","Sports","PHL Collective","PHL Collective","Unreleased","Sep 9, 2015","Sep 9, 2015","","[11]"
"ClusterTruck","Platformer","Landfall Games","TinyBuild","Unreleased","Sep 27, 2016","Sep 27, 2016","",""
"Cobalt","Action-sidescroller","Oxeye Game StudioFatshark","Mojang","Feb 2, 2016","Feb 2, 2016","Feb 2, 2016","",""
"Cobra Kai: The Karate Kid Saga Continues","Beat 'em up","Flux Game Studio","GameMill Entertainment","Unreleased","Oct 27, 2020","Oct 27, 2020","",""
"Code Shifter","Side-scrolling action","Arc System Works","Arc System Works","Jan 30, 2020","Jan 30, 2020","Jan 30, 2020","",""
"Code Vein","Action role-playing","Bandai Namco Studios","Bandai Namco Entertainment","Sep 27, 2019","Sep 27, 2019","Sep 27, 2019","",""
"Coffee Crisis","Beat 'em up","Mega Cat Studios","E360 Technologies","Unreleased","Aug 15, 2018","Aug 15, 2018","",""
"Coffee Talk","Visual novel","Toge Productions","Chorus Worldwide","Jan 29, 2020","Jan 31, 2020","Jan 30, 2020","",""
"Coffin Dodgers","Racing","Milky Tea Studios","Wales Interactive","Unreleased","May 6, 2016","May 6, 2016","",""
"Cogen: Sword of Rewind","Platform","Gemdrops","Gemdrops","Jan 27, 2022","Jan 27, 2022","Jan 27, 2022","","[38]"
"Colina: Legacy","Horror, Adventure","Chance6 Studios","Chance6 Studios","Sep 13, 2019","Sep 13, 2019","Sep 13, 2019","",""
"Color Symphony 2","Platform, Puzzle","Remimory","Remimory","Unreleased","Jun 8, 2016","Jun 8, 2016","",""
"Coma","Adventure","Jason Oda","Jason Oda","Unreleased","TBA","TBA","","[39]"
"The Coma: Recut","Horror, Survival","Devespresso Games","Digerati","Unreleased","Sep 21, 2017","Sep 21, 2017","",""
"The Coma 2: Vicious Sisters","Horror, Survival","Devespresso Games","Digerati","Unreleased","Sep 4, 2020","Sep 4, 2020","",""
"Commander Cherry for Kinect","Platform","Grande Games","Grande Games","Unreleased","Aug 14, 2015","Aug 14, 2015","",""
"The Complex","FMV adventure","Wales Interactive","Wales Interactive","Mar 31, 2020","Mar 31, 2020","Mar 31, 2020","",""
"Conan Exiles","Open World Survival","Funcom","Funcom","Unreleased","May 8, 2018","May 8, 2018","X",""
"Conarium","Horror","Zoetrope Interactive","Iceberg Interactive","Feb 11, 2019","Feb 12, 2019","Feb 11, 2019","X",""
"Conga Master","Action","Undercoders","Rising Star Games","Unreleased","Jul 21, 2017","Jul 21, 2017","",""
"Conglomerate 451: Overloaded","Dungeon crawler","RuneHeads","34BigThings","Un­known","Jun 2021","Un­known","","[40]"
"Construction Simulator 2: Console Edition","Strategy, Simulation","weltenbauer","Astragon","Unreleased","Sep 12, 2018","Sep 12, 2018","X",""
"Construction Simulator 3: Console Edition","Simulation","weltenbauer","Astragon","Apr 7, 2020","Apr 7, 2020","Apr 7, 2020","",""
"Constructor HD","Strategy, Simulation","System 3","System 3","Unreleased","Feb 28, 2017","Feb 28, 2017","",""
"Constructor Plus","Strategy, Simulation","System 3","System 3","Unreleased","Sep 25, 2019","Sep 25, 2019","",""
"Contra Anniversary Collection","Classics collection","Konami","Konami","Jun 12, 2019","Jun 11, 2019","Jun 11, 2019","",""
"Contra: Rogue Corps","Twin-stick shooter","Konami","Konami","Sep 25, 2019","Sep 24, 2019","Sep 25, 2019","",""
"Contrast","Puzzleactionplatform","Compulsion Games","Compulsion Games","Unreleased","Jun 26, 2014","Jun 26, 2014","",""
"Control","Third-person shooteraction-adventure","Remedy Entertainment","505 Games","Unreleased","Aug 27, 2019","Aug 27, 2019","X",""
"Convoy: A Tactical Roguelike","Strategytactical role-playingroguelike","Convoy Games","Triangle Studios","Apr 8, 2020","Apr 8, 2020","Apr 8, 2020","",""
"Cook, Serve, Delicious! 3","Simulation","Vertigo Gaming","Vertigo Gaming","Unreleased","Oct 14, 2020","Oct 14, 2020","",""
"Costume Quest 2","Role-playing","Double Fine Productions","Midnight City","Oct 31, 2014","Oct 31, 2014","Oct 31, 2014","",""
"The Council","Adventure","Big Bad Wolf","Focus Home Interactive","Unreleased","Mar 13, 2018","Mar 13, 2018","",""
"The Count Lucanor","Action-adventure","Baroque DecayRatalaika Games","Merge Games","Unreleased","Mar 21, 2018","Mar 21, 2018","",""
"Crackdown 3","Action adventure","Sumo Digital","Xbox Game Studios","Feb 15, 2019","Feb 15, 2019","Feb 15, 2019","PA  PC",""
"Crash Bandicoot 4: It's About Time","Platform","Toys for Bob","Activision","Oct 2, 2020","Oct 2, 2020","Oct 2, 2020","",""
"Crash Bandicoot N. Sane Trilogy","Platform","Vicarious Visions","Activision","Jun 29, 2018","Jun 29, 2018","Jun 29, 2018","",""
"Crash Force","Arena Shooter","Ascanio Entertainment","Ascanio Entertainment","Unreleased","TBA","TBA","","[41]"
"Crash Team Racing Nitro-Fueled","Racing, Karts","Beenox","Activision","Jun 21, 2019","Jun 21, 2019","Jun 21, 2019","X",""
"Crawl","Roguelike, brawler","Powerhoof","Powerhoof","Unreleased","Apr 11, 2017","Apr 11, 2017","",""
"Crayola Scoot","Racing, Sport","Climax Studios","Outright Games","Unreleased","Oct 16, 2018","Oct 23, 2018","X",""
"Crazy Strike Bowling EX","Sport","Corecell Technology","Corecell Technology","Unreleased","Jun 27, 2017","Jun 27, 2017","",""
"Creature in the Well","Action-adventure, Role-playing","Flight School Studio","Flight School Studio","Sep 6, 2019","Sep 6, 2019","Sep 6, 2019","PA  X",""
"Creepy Road","Side-scrolling action","Groovy Milk","Groovy Milk","Mar 1, 2019","Mar 1, 2019","Mar 1, 2019","",""
"The Crew","Racing","Ubisoft Ivory TowerUbisoft Reflections","Ubisoft","Dec 4, 2014","Dec 2, 2014","Dec 2, 2014","",""
"The Crew 2","Racing","Ubisoft Ivory Tower","Ubisoft","Jun 29, 2018","Jun 29, 2018","Jun 29, 2018","X",""
"The Crew Motorfest","Racing","Ubisoft Ivory Tower","Ubisoft","Sep 14, 2023","Sep 14, 2023","Sep 14, 2023","X",""
"Cricket 19","Sports","Big Ant Studios","Big Ant Studios","May 28, 2019","May 28, 2019","May 28, 2019","X",""
"Cricket 22","Sports","Big Ant Studios","Nacon","Unreleased","Nov 25, 2021","Nov 25, 2021",""
"Crimson Dragon","Rail shooter","Grounding","Xbox Game Studios","Sep 4, 2014","Nov 22, 2013","Nov 22, 2013","K",""
"Crimson Keep","First-person roguelike, Dungeon crawler","Team Crimson","Merge Games","Mar 6, 2019","Mar 6, 2019","Mar 6, 2019","",""
"Crimsonland","Shooter","10tons","10tons","Unreleased","Oct 14, 2015","Oct 14, 2015","",""
"Cris Tales","Japanese role-playing","Dreams UncorporatedSYCK","Modus Games","Unreleased","Nov 17, 2020","Nov 17, 2020","",""
"CrossCode","Action role-playing","Radical Fish Games","Deck13","Jul 9, 2020","Jul 9, 2020","Jul 9, 2020","",""
"CrossfireX","First-person shooter","Smilegate","Xbox Game Studios","Feb 10, 2022","Feb 10, 2022","Feb 10, 2022","X",""
"CrossKrush","Puzzle","Thinice Games","Ratalaika Games","Oct 21, 2020","Oct 21, 2020","Oct 21, 2020","",""
"Crossroads Inn","Simulation","Klabater","Klabater","Unreleased","May 19, 2021","May 19, 2021","",""
"Cruz Brothers","Fighting","DCF Studios","DCF Studios","Feb 5, 2020","Feb 5, 2020","Feb 5, 2020","",""
"Crypt of the NecroDancer","Roguelike, rhythm","Brace Yourself Games","Brace Yourself Games","Unreleased","Feb 10, 2017","Feb 10, 2017","",""
"Crypt of the Serpent King","Hack and slash","Rendercode Games","Rendercode Games","Unreleased","Dec 20, 2016","Dec 20, 2016","",""
"Crysis Remastered","First-person shooter, stealth","Crytek","Crytek","Unreleased","Sep 18, 2020","Sep 18, 2020","",""
"Cryogear","Metroidvania, action-adventure","Adrian Zingg","PolarityFlow","Apr 17, 2020","Apr 17, 2020","Apr 17, 2020","","[42]"
"Cubikolor","Puzzle","Fractal Box","Moving Player","Unreleased","May 20, 2016","May 20, 2016","",""
"Cube Life: Island Survival HD","Sandbox","Cypronia","Cypronia","TBA","TBA","TBA","",""
"Cubot: The Complexity of Simplicity","Puzzle","NicoplvGames","NicoplvGames","Unreleased","Jan 8, 2016","Jan 8, 2016","",""
"The Culling","Actionbattle royale","Xaviant","Xaviant","Unreleased","Oct 5, 2017","Oct 5, 2017","",""
"The Culling 2","Actionbattle royale","Xaviant","Xaviant","Unreleased","Jul 10, 2018","Jul 10, 2018","",""
"Cuphead","run-and-gun","Studio MDHR","Studio MDHR","Sep 29, 2017","Sep 29, 2017","Sep 29, 2017","PA",""
"Curious Expedition","Strategyroguelike","Macshinen-Mensch","Thunderful Publishing","Apr 3, 2020","Apr 3, 2020","Apr 3, 2020","",""
"Curse of the Dead Gods","Action role-playingroguelike","Passtech Games","Focus Home Interactive","Unreleased","Feb 23, 2021","Feb 23, 2021","",""
"Cybarian: The Time Travelling Warrior","Action-platformer, Retro","Ritual Games","Ratalaika Games","Jun 19, 2019","Jun 19, 2019","Jun 19, 2019","",""
"Cyber Complex","Strategy, Tower-defense","Polarity Flow","Polarity Flow","Unreleased","Jul 27, 2017","Jul 27, 2017","",""
"Cyberpunk 2077","Action role-playing","CD Projekt Red","CD Projekt Red","Dec 10, 2020","Dec 10, 2020","Dec 10, 2020","",""
"D/Generation HD","Action-adventure","West Coast Software","West Coast Software","Feb 12, 2016","Feb 12, 2016","Feb 12, 2016","",""
"D4: Dark Dreams Don't Die","Action-adventuremystery","Access Games","Xbox Game Studios","Sep 19, 2014","Sep 19, 2014","Sep 19, 2014","",""
"Dad Beat Dads","Action-adventure","Stellar Jay Studios","Stellar Jay Studios","Unreleased","Feb 5, 2016","Feb 5, 2016","",""
"Daggerhood","Platformer","Woblyware","Ratalaika Games","Feb 20, 2019","Feb 20, 2019","Feb 20, 2019","",""
"Dakar 18","Racing","Bigmoon Entertainment","Deep Silver","Unreleased","Sep 11, 2018","Sep 11, 2018","",""
"Damsel","Action platformer","Screwtape Studios","Screwtape Studios","Aug 7, 2019","Aug 7, 2019","Aug 7, 2019","",""
"Dance Central Spotlight","Rhythmmotion controlled","Harmonix","Xbox Game Studios","Sep 4, 2014","Sep 2, 2014","Sep 2, 2014","K",""
"Dandara","Platformer","Long Hat House","Raw Fury","Unreleased","Feb 6, 2018","Feb 6, 2018","",""
"Danger Zone","Racing","Three Fields Entertainment","Three Fields Entertainment","Unreleased","Oct 10, 2017","Oct 10, 2017","X",""
"Danger Zone 2","Racing","Three Fields Entertainment","Three Fields Entertainment","Unreleased","Jul 13, 2018","Jul 13, 2018","X",""
"Dangerous Driving","Racing","Three Fields Entertainment","Three Fields Entertainment","Apr 9, 2019","Apr 9, 2019","Apr 9, 2019","X",""
"Dangerous Golf","Sports","Three Fields Entertainment","Three Fields Entertainment","Unreleased","Jun 3, 2016","Jun 3, 2016","",""
"Dangun Feveron","Scrolling shoot 'em up","M2","M2","Apr 3, 2018","Apr 3, 2018","Apr 3, 2018","",""
"Dark Arcana: The Carnival","Point & Click","Artifex Mundi","Artifex Mundi","Unreleased","Mar 17, 2017","Mar 17, 2017","",""
"The Dark Crystal: Age of Resistance Tactics","Tactical role-playing, strategy","BonusXP","En Masse Entertainment","Feb 4, 2020","Feb 4, 2020","Feb 4, 2020","",""
"The Dark Pictures Anthology: House of Ashes","Horror","Supermassive Games","Bandai Namco Entertainment","Unreleased","Oct 22, 2021","Oct 22, 2021","",""
"The Dark Pictures Anthology: Man of Medan","Horror","Supermassive Games","Bandai Namco Entertainment","Aug 29, 2019","Aug 30, 2019","Aug 29, 2019","X",""
"The Dark Pictures Anthology: Little Hope","Horror","Supermassive Games","Bandai Namco Entertainment","Oct 30, 2020","Oct 30, 2020","Oct 30, 2020","X",""
"Dark Quest 2","Tactical Role-playing","Brain Seal","Brain Seal","Feb 7, 2019","Feb 8, 2019","Feb 8, 2019","",""
"Dark Souls Remastered","Action role-playing, hack and slash","From Software","Bandai Namco Entertainment","May 24, 2018","May 25, 2018","May 25, 2018","",""
"Dark Souls II: Scholar of the First Sin","Action role-playing, hack and slash","From Software","Bandai Namco Entertainment","Apr 9, 2015","Apr 7, 2015","Apr 2, 2015","",""
"Dark Souls III","Action role-playing, hack and slash","From Software","Bandai Namco Entertainment","Mar 24, 2016","Apr 12, 2016","Apr 12, 2016","",""
"Darkest Dungeon","Turn-based strategy","Red Hook Studios","Red Hook Studios","Unreleased","Feb 28, 2018","Feb 28, 2018","",""
"Darksiders: Warmastered Edition","Action role-playing, hack and slash","Gunfire Games","THQ Nordic","Unreleased","Nov 22, 2016","Nov 22, 2016","",""
"Darksiders II: Deathinitive Edition","Action role-playing, hack and slash","Gunfire Games","THQ Nordic","Unreleased","Oct 27, 2015","Oct 27, 2015","",""
"Darksiders Genesis","Action role-playing","Airship Syndicate","THQ Nordic","Unreleased","Feb 14, 2020","Feb 14, 2020","X",""
"Darksiders III","Action role-playing, hack and slash","Gunfire Games","THQ Nordic","Unreleased","Nov 27, 2018","Nov 27, 2018","",""
"Darkwood","Survival horror","Acid Wizard Studio","Crunching Koalas","May 17, 2019","May 17, 2019","May 17, 2019","",""
"DARQ: Complete Edition","Psychological horror","Unfold Games","Feardemic","Unreleased","Dec 4, 2020","Dec 4, 2020","",""
"Dawn of the Monsters","Beat 'em up","13AM Games","WayForward","2022","2022","2022","","[43]"
"DayD: Through Time","Strategy, Time management","Creobit","8floor Games","Unreleased","Jan 30, 2019","Jan 30, 2019","",""
"DayZ","Open world, multiplayer survival","Bohemia Interactive","Bohemia Interactive","Unreleased","Mar 27, 2019","Mar 27, 2019","X",""
"DCL: The Game","Simulation, racing","Drone ChampionsClimax Studios","THQ Nordic","Feb 18, 2020","Feb 18, 2020","Feb 18, 2020","X",""
"De Blob","Platform, Puzzle","BlitWorks","THQ Nordic","Unreleased","Nov 17, 2017","Nov 17, 2017","",""
"De Blob 2","Platform, Puzzle","BlitWorks","THQ Nordic","Unreleased","Feb 27, 2018","Feb 27, 2018","",""
"Dead Age","Survival, tactical role-playing","Silent Dreams","Headup Games","Unreleased","Sep 7, 2018","Sep 7, 2018","",""
"Dead Ahead: Zombie Warfare","Survival","Mobirate","Mobirate","Unreleased","Apr 6, 2018","Apr 6, 2018","",""
"Dead Alliance","First-person shooter","IllFonicPsyop","Maximum Games","Unreleased","Aug 29, 2017","Aug 29, 2017","",""
"Dead Alliance: Multiplayer Edition","First-person shooter","IllFonicPsyop","Maximum Games","Unreleased","Aug 29, 2017","Aug 29, 2017","",""
"Dead Cells","Side-Scrolling Hack and slash Roguelike","Motion Twin","Motion Twin","Aug 7, 2018","Aug 7, 2018","Aug 7, 2018","",""
"Dead by Daylight","Asymmetrical multiplayer horror","Behavior Interactive","Starbreeze Studios","Unreleased","Jun 20, 2017","Jun 20, 2017","",""
"Deadcraft","Survival","Marvelous First Studio","JP: MarvelousWW: Xseed Games","May 19, 2022","May 19, 2022","May 19, 2022","","[44]"
"Dead Effect 2","Shooter","BadFly Interactive","BadFly Interactive","Unreleased","Jan 13, 2017","Jan 13, 2017","",""
"Dead End Job","Twin-stick shooter","Ant Workshop","Headup Games","Unreleased","Dec 13, 2019","Dec 13, 2019","",""
"Dead Exit","Strategy, Deck Building","RadiationBurn","RadiationBurn","Unreleased","Oct 31, 2017","Oct 31, 2017","",""
"Dead Island: Definitive Edition","Action role-playingsurvival horror","Techland","Deep Silver","Unreleased","May 31, 2016","May 31, 2016","",""
"Dead Island: Retro Revenge","Fighting","Empty Clip","Deep Silver","Unreleased","Aug 1, 2016","Aug 1, 2016","",""
"Dead Island: Riptide Definitive Edition","Action-adventure, first-person survival horror","Techland","Deep Silver","Unreleased","May 31, 2016","May 31, 2016","",""
"Dead Island 2","Action-adventure, first-person survival horror","Sumo Digital","Deep Silver","Unreleased","Feb 3, 2023","Feb 3, 2023","",""
"Dead or Alive 5: Last Round","Fighting","Team Ninja","Koei Tecmo","Feb 19, 2015","Feb 17, 2015","Feb 20, 2015","",""
"Dead or Alive 6","Fighting","Koei Tecmo","Koei Tecmo","Mar 1, 2019","Mar 1, 2019","Mar 1, 2019","",""
"Dead Rising","Survival horror","Capcom","Capcom","Sep 12, 2016","Sep 12, 2016","Sep 12, 2016","",""
"Dead Rising 2","Survival horror","Capcom","Capcom","Sep 12, 2016","Sep 12, 2016","Sep 12, 2016","",""
"Dead Rising 2: Off the Record","Survival horror","Capcom","Capcom","Sep 12, 2016","Sep 12, 2016","Sep 12, 2016","",""
"Dead Rising 3","Survival horror","Capcom Vancouver","Xbox Game Studios","Sep 4, 2014","Nov 22, 2013","Nov 22, 2013","",""
"Dead Rising 4","Survival horror","Capcom Vancouver","Xbox Game Studios","Dec 6, 2016","Dec 6, 2016","Dec 6, 2016","X",""
"Deadbeat Heroes","Action","Deadbeat Productions","Square Enix Collective","Unreleased","Oct 10, 2017","Oct 10, 2017","",""
"Deadcore","Platformer, Parkour","5 Bits Games","Grip Digital","Unreleased","Jul 14, 2017","Jul 14, 2017","",""
"Deadlight: Director's Cut","Action & Adventure","Tequila WorksAbstraction Games","Deep Silver","Unreleased","Jun 21, 2016","Jun 21, 2016","",""
"Deadly Dozen Reloaded","Tactical shooter","nFusion Interactive","Ziggurat Interactive","Unreleased","2022","2022","",""
"Deadpool","Action & Adventure","High Moon Studios","Activision","Unreleased","Nov 17, 2015","Nov 20, 2015","",""
"Dear Esther: Landmark Edition","Adventure, walking simulator","The Chinese Room","Curve Digital","Unreleased","Sep 19, 2016","Sep 19, 2016","",""
"Death Crown","Real-time strategy","Co5monautStas Pisarev","Co5monaut","Unreleased","May 13, 2021","May 13, 2021","",""
"Death God University","Action & Adventure, Puzzle","DSK Green Ice Games","DSK Green Ice Games","Unreleased","Oct 13, 2016","Oct 13, 2016","",""
"Death Squared","Puzzle","SMG Studios","SMG Studios","Unreleased","Mar 14, 2017","Mar 14, 2017","",""
"Death's Door","Action-adventure","Acid Nerve","Devolver Digital","Jul 20, 2021","Jul 20, 2021","Jul 20, 2021","",""
"Debris","Action-adventure","Moonray Studios","Moonray Studios","Nov 22, 2019","Nov 22, 2019","Nov 22, 2019","",""
"Debris Infinity","Twin-stick shooter","SVC Games","SVC Games","Oct 11, 2019","Oct 11, 2019","Oct 11, 2019","X",""
"Decay","Horror, Puzzle","Shining Gate Software","Shining Gate Software","Jul 26, 2019","Jul 26, 2019","Jul 26, 2019","",""
"Decay: The Mare","Horror, Puzzle","Shining Gate Software","Shining Gate Software","Unreleased","Oct 12, 2017","Oct 12, 2017","",""
"Decay of Logos","Action-adventure","Amplify Creations","Rising Star Games","Aug 30, 2019","Aug 30, 2019","Aug 30, 2019","",""
"Deep Ones","Platformer","Burp! Games","Sometimes You","Dec 7, 2018","Apr 11, 2018","Apr 11, 2018","",""
"Deep Rock Galactic","Shooter, Adventure","Ghost Ship Games","Coffee Stain Publishing","Unreleased","May 13, 2020","May 13, 2020","PA",""
"Deep Sky Derelicts: Definitive Edition","Role-playing","Snowhound Games","1C Company","Unreleased","Mar 24, 2020","Mar 24, 2020","","[45]"
"Deep Space Rush","Run & gun","Bug-Studios","Ratalaika Games","Oct 23, 2019","Oct 23, 2019","Oct 23, 2019","",""
"The Deer God","Platformer","Crescent Moon Games","Crescent Moon Games","Sep 1, 2015","Sep 1, 2015","Sep 1, 2015","","[46]"
"Deer Hunter Reloaded","Simulation, Sport","GameMill Entertainment","GameMill Entertainment","Unreleased","Oct 24, 2017","Oct 24, 2017","",""
"Defenders of Ekron: Definitive Edition","Shoot 'em up","In Vitro Games","In Vitro Games","Unreleased","Aug 7, 2018","Aug 7, 2018","",""
"Deformers","MOBA","Ready at Dawn","Ready at Dawn","Unreleased","Apr 11, 2017","Apr 11, 2017","PC",""
"Defender's Quest: Valley of the Forgotten DX","Tower-defense, Role-playing","Level Up Labs","Level Up Labs","Unreleased","Feb 21, 2018","Feb 21, 2018","",""
"Defense Grid 2","Tower defense","Hidden Path Entertainment","505 Games","Unreleased","Sep 23, 2014","Sep 23, 2014","",""
"Defunct","Action & Adventure","Soedesco","Soedesco","Dec 19, 2017","Dec 19, 2017","Dec 19, 2017","PA",""
"Degrees of Separation","Puzzle platformer","Moondrop","Modus Games","Feb 14, 2019","Feb 14, 2019","Feb 14, 2019","",""
"Deliver Us the Moon","Adventure","KeokeN Interactive","KeokeN Interactive","Apr 23, 2020","Apr 24, 2020","Apr 24, 2020","",""
"Delta Squad","To-down shooter","Eskema Games","Ratalaika Games","Oct 30, 2019","Oct 30, 2019","Oct 30, 2019","",""
"Demetrios: The Big Cynical Adventure","Adventure, Point & Click","CowCat","CowCat","Unreleased","Aug 2, 2017","Aug 2, 2017","",""
"Demon Pit","Wave shooter","Psychic SoftwareDoomcubeStage Clear Studios","Digerati","Dec 24, 2019","Dec 24, 2019","Dec 24, 2019","X",""
"Demons Age","Role-playing","Bigmoon Entertainment","Bigmoon Entertainment","Unreleased","Dec 7, 2017","Dec 7, 2017","",""
